story,root,A,B
Amigues,Amigues,a,b
Acceptació,Acceptació,a,b
Actitud_conducta,Actitud,a,b
Actitud_conducta_bis,Actitud,a,c
Actitud_conducta_bis_bis,Actitud,a,d
Actitud_conducta_bis_bis_bis,Actitud,b,c
Actitud_conducta_bis_bis_bis_bis,Actitud,b,d
Actitud_conducta_bis_bis_bis_bis_bis,Actitud,c,d
Angustia_atemorizada_verguenzabis,Angustia_atemorizada_verguenzabis,a,b
Automutilació,Automutilació,a,b
Automutiliació_b,Automutiliació_b,a,b
Certeses,Certeses,a,b
Col·laboració,Col·laboració,a,b
Col·laboració_2b,Col·laboració_2b,a,b
Coses_ocultes,Coses_ocultes,a,b
Decisio_correcta,Decisio_correcta,a,b
Descendencia_2,Descendencia_2,a,b
Drogues,Drogues,a,b
Dutxar,Dutxar,a,b
Empatia,Empatia,a,b
Enigma,Enigma,a,b
Entrevista,Entrevista,a,b
Estres_bis,Estres,a,b
Estres_bis_1,Estres,a,c
Estres_bis_2,Estres,a,d
Estres_bis_3,Estres,b,c
Estres_bis_4,Estres,b,d
Estres_bis_5,Estres,c,d
Gratificant_b,Gratificant_b,a,b
Inclusió_2b,Inclusió_2b,a,b
Incomoditat,Incomoditat,a,b
Incomoditat_2,Incomoditat_2,a,b
Incomprensió_16_bis,Incomprensió_16_bis,a,b
Incomprensió_17,Incomprensió_17,a,b
Incomprensió_19,Incomprensió_19,a,b
Incomprensió_21,Incomprensió_21,a,b
Incomprensió_22,Incomprensió_22,a,b
Incomprensió_4,Incomprensió_4,a,b
Incomprensió_5,Incomprensió_5,a,b
Incomprensió_7,Incomprensió_7,a,b
Incomprensió_tancat,Incomprensió_tancat,a,b
Ingrés,Ingrés,a,b
Manicomio,Manicomio,a,b
Manicomio_bis,Manicomio,a,c
Manicomio_bis_bis,Manicomio,b,c
Manicomio_bis_bis_bis,Manicomio,a,d
Manicomio_bis_bis_bis_bis,Manicomio,b,d
Manicomio_bis_bis_bis_bis_bis,Manicomio,c,d
Mentida_ocultació_b,Mentida_ocultació_b,a,b
Obertura,Obertura,a,b
Paràlisi,Paràlisi,a,b
Por,Por,a,b
Por_bis,Por,a,c
Por_bis_bis,Por,b,c
Por_2,Por_2,a,b
Prejudicis,Prejudicis,a,b
Prejudicisbis,Prejudicis,a,c
Prejudicisbisbis,Prejudicis,b,c
Prudencia,Prudencia,a,b
Prudencia_2,Prudencia_2,a,b
Prudencia_3,Prudencia_3,a,b
Pràctiques,Pràctiques,a,b
Pràctiques_bis,Pràctiques,a,c
Pràctiques_bis_bis,Pràctiques,a,d
Pràctiques_bis_bis_bis,Pràctiques,b,c
Pràctiques_bis_bis_bis_bis,Pràctiques,b,d
Pràctiques_bis_bis_bis_bis_bis,Pràctiques,c,d
Rol,Rol,a,b
Salud_mental_privada,Salud_mental_privada,a,b
Sensibilitzar,Sensibilitzar,a,b
Silenciar_escola,Silenciar_escola,a,b
Sincers,Sincers,a,b
Socialització,Socialització,a,b
Suicidi,Suicidi,a,b
Suicidi_bis,Suicidi,a,c
Suicidi_bis_bis,Suicidi,b,c
Tolerància,Tolerància,a,b
Treball,Treball,a,b
Treball_bis,Treball,c,d
Treball_bis_bis,Treball,b,d
Treball_bis_bis_bis,Treball,b,c
Treball_bis_bis_bis_bis,Treball,a,c
Treball_bis_bis_bis_bis_bis,Treball,a,d
Tristesa,Tristesa,a,b
Veins,Veins,a,b
Veritats,Veritats,a,b
Voces,Voces,a,b
Voces_bis,Voces,a,c
Voces_bis_bis,Voces,a,d
Voces_bis_bis_bis,Voces,b,c
Voces_bis_bis_bis_bis,Voces,b,d
Voces_bis_bis_bis_bis_bis,Voces,c,d
